,TOTALS,,,,AGE,,,,DRINKS,,,,RACE,,,,INDUSTRY,,,,ORIENTATION,,,,RELIGION,,,,LIST OF BIRACIAL RACES,,
,Never,Sometimes,Often,,Never,Sometimes,Often,,Never,Sometimes,Often,,Never,Sometimes,Often,,Never,Sometimes,Often,,Never,Sometimes,Often,,Never,Sometimes,Often,,Never,Sometimes,Often
TOTAL USERS,37724,7732,410,,18,18,18,,desperately,desperately,desperately,,asian,asian,asian,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"asian, black, native american, pacific islander, white"
Age,,,,,18,18,18,,desperately,desperately,desperately,,asian,asian,asian,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"asian, black, native american, white"
18,189,59,20,,18,18,18,,desperately,desperately,desperately,,asian,asian,asian,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"asian, black, native american, white"
19,367,127,19,,18,18,18,,desperately,desperately,desperately,,asian,asian,asian,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"asian, hispanic / latin, white, other"
20,577,210,28,,18,18,18,,desperately,desperately,desperately,,asian,asian,asian,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"asian, middle eastern, black, native american, indian, pacific islander, hispanic / latin, white"
21,727,371,37,,18,18,18,,desperately,desperately,desperately,,asian,asian,asian,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"asian, middle eastern, black, native american, indian, pacific islander, hispanic / latin, white, other"
22,1134,368,32,,18,18,18,,desperately,desperately,desperately,,asian,asian,asian,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"asian, middle eastern, black, native american, indian, pacific islander, hispanic / latin, white, other"
23,1485,475,23,,18,18,18,,desperately,desperately,desperately,,asian,asian,asian,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"asian, middle eastern, black, native american, indian, pacific islander, hispanic / latin, white, other"
24,1855,550,39,,18,18,18,,desperately,desperately,desperately,,asian,asian,asian,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"asian, middle eastern, black, native american, indian, pacific islander, hispanic / latin, white, other"
